Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,Extra
516.101,572.831,13.9224,20.2134,3.96371e-06,512.083,566.697,515.917,567.305,513.684,568.496,513.738,572.736,515.089,573.45,0.982909
524.219,573.109,12.7771,19.8864,4.82798e-06,520.182,567.319,524.038,567.481,522.098,569.184,521.9,573.457,523.267,573.753,0.982893
531.812,573.342,14.726,21.2109,3.39746e-06,527.22,567.972,531.175,567.746,529.424,570.066,529.215,574.068,530.59,573.975,0.982857
540.467,573.137,15.3387,24.5237,3.60608e-06,535.668,568.91,539.768,568.547,538.109,571.59,538.137,575.2,539.363,574.95,0.982846
547.505,573.925,12.5235,25.3144,2.47359e-06,543.477,572.025,547.379,571.706,545.99,573.906,545.544,576.168,547.226,575.866,0.982704
555.626,573.344,13.5823,26.1099,1.84774e-06,551.471,571.813,555.454,571.432,554.016,573.719,553.636,575.928,555.313,575.568,0.982703
563.007,574.273,8.69714,24.1976,9.23872e-07,560.995,573.992,564.298,573.349,563.302,575.285,562.457,576.456,564.081,575.907,0.982624
570.778,573.59,14.7899,20.2822,2.38419e-07,568.861,571.719,574.115,570.019,571.944,573.722,571.03,576.233,574.254,574.968,0.982708
581.547,573.584,23.5637,32.8651,6.55651e-07,576.695,570.476,585.426,567.915,581.286,575.173,579.691,579.417,586.053,577.369,0.982619
588.034,572.446,28.0167,34.7118,8.9407e-07,582.462,568.733,594.178,566.311,589.045,574.517,585.683,580.747,594.256,578.734,0.982559
596.363,571.443,30.0782,36.9854,6.25849e-07,590.046,566.489,603.331,565.222,598.044,574.093,593.169,581.373,602.863,580.24,0.982494
603.057,572.477,29.9655,36.9025,5.66244e-07,597.98,567.198,611.093,566.217,606.08,574.824,600.447,581.943,610.114,581.07,0.982534
612.494,572.906,29.4079,37.1259,7.7486e-07,610.019,567.082,621.221,566.766,618.582,574.835,611.998,582,620.284,581.707,0.982501
617.237,573.512,27.4281,36.6493,1.01328e-06,617.095,567.428,626.363,567.676,625.291,575.391,618.267,582.152,625.082,582.376,0.982519
629.134,573.194,21.4693,37.2529,2.47359e-06,630.765,567.55,636.522,567.731,636.117,574.113,631.1,580.94,634.798,581.217,0.982549
634.915,572.978,10.6208,37.1395,2.86102e-06,636.728,566.589,640.748,567.005,640.197,573.379,636.847,580.076,639.382,580.544,0.982472
3.19293,581.372,7.73419,33.9443,3.8743e-07,3.0143,579.081,6.00225,578.375,6.43342,583.819,2.48579,587.751,4.563,586.91,0.982363
11.7292,579.642,22.3496,34.8864,6.55651e-07,5.53761,577.433,14.4375,576.651,10.141,583.227,5.91266,586.849,12.3374,586.134,0.982437
16.2118,580.414,27.2359,33.4537,3.03984e-06,8.24894,576.653,19.6664,575.885,11.5872,583.963,10.0032,589.313,17.835,588.502,0.982592
31.7521,580.412,27.044,34.0472,1.90735e-06,25.296,575.044,35.614,574.667,29.2373,582.224,27.7073,588.338,34.7456,587.855,0.982579
37.048,579.903,26.9365,34.146,1.42455e-05,30.7315,574.416,42.083,573.481,36.922,581.515,34.1442,588.445,42.1498,587.566,0.982474
39.9092,580.405,27.0918,32.2551,3.12924e-06,33.8791,575.781,44.3595,575.243,39.8073,582.591,36.2583,588.537,43.5459,588.002,0.982527
53.7761,582.056,15.7241,25.1031,2.77162e-06,51.5854,579.444,57.6213,580.06,55.0215,584.317,52.2406,587.558,55.8811,587.815,0.982464
57.708,580.795,12.7076,27.0811,7.45058e-07,56.7502,578.638,61.6292,579.565,59.5645,582.814,57.2109,585.053,60.0623,585.645,0.982498
69.7411,576.52,17.3391,14.2526,2.95043e-06,65.3727,573.65,70.1364,574.143,67.4096,576.319,67.4985,580.088,69.4533,580.556,0.982733
76.7601,577.18,18.7586,20.2427,1.93715e-06,73.3533,572.381,78.1035,574.265,74.7804,574.729,75.1647,578.749,77.3834,580.594,0.982756
