x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9,extra
406.1475,223.03442,12.668059,16.355032,1.1324883e-06,403.40213,219.15031,409.40637,219.63976,406.23938,223.59514,403.94662,226.57382,409.00708,226.80963,0.9843539
412.0749,224.1283,10.781657,16.38389,4.4703484e-07,409.79266,220.3306,415.41562,220.80037,413.1108,224.56874,410.67773,227.47688,415.27597,227.7085,0.98432803
424.52963,223.24461,12.255247,16.186914,6.854534e-07,421.66592,220.29216,427.57895,220.58891,425.23767,224.40549,422.38184,227.4062,427.5648,227.49484,0.9843744
429.7835,222.89096,11.62709,15.045451,3.9339066e-06,428.14212,220.57158,433.99792,220.51025,431.64795,224.8089,429.28717,227.39813,433.77005,227.24522,0.9843543
429.84033,221.51643,13.371651,13.984692,4.887581e-06,428.10757,218.67679,434.44485,218.63434,432.04413,221.82858,429.40894,224.95377,434.21158,224.87473,0.98422194
445.33975,220.26955,16.12373,14.061178,1.2218952e-06,443.72098,217.29817,449.90787,217.33281,447.79337,220.84084,444.99393,224.07672,450.108,224.1019,0.9843892
452.97708,219.85545,18.739504,14.935059,1.3411045e-06,451.50006,215.67584,457.4615,215.73279,455.06082,218.96527,452.661,222.4497,457.4852,222.53378,0.9843703
461.47708,220.71611,18.326836,15.874415,4.3213367e-06,458.20892,216.28876,464.70007,216.3344,461.83325,219.9715,459.65472,223.8228,464.9381,223.92262,0.9843017
467.13266,218.18114,19.04708,18.344946,3.5762787e-06,463.1085,214.35329,470.23712,214.57115,466.58167,218.16425,464.63412,222.10262,470.23953,222.30437,0.9843123
475.5675,219.63148,19.918564,17.718163,2.3841858e-06,471.14706,215.97081,477.3235,216.30379,473.7781,219.46133,472.2413,222.91736,477.33905,223.16415,0.98433316
484.6891,220.36769,20.103859,17.954395,3.0696392e-06,481.13983,216.79582,487.04993,217.14311,483.2339,220.02953,481.50226,223.67671,486.6241,223.94054,0.9843549
493.08752,218.83844,17.711935,15.209498,6.2286854e-06,489.9659,215.37389,495.59073,215.92624,491.38342,218.46516,490.22583,221.60008,494.59717,222.07869,0.98431444
498.97324,216.39029,22.105204,17.834568,1.5795231e-06,495.3988,212.25076,502.09726,212.5984,497.353,215.66646,495.9007,219.44136,500.8715,219.63087,0.9843029
505.63327,219.34578,20.535456,19.363325,1.0728836e-06,501.48462,214.01514,509.54156,214.40948,505.08096,218.06587,503.06656,222.1898,509.03433,222.45137,0.9842679
516.1095,222.39243,18.689756,20.265924,1.1026859e-06,512.1553,216.75858,520.3534,217.05856,516.59296,221.74905,513.5544,226.44853,519.861,226.6409,0.9843086
520.99396,221.4882,15.303527,19.700663,6.2584877e-07,517.4192,216.95268,524.67834,217.1638,521.79834,221.49123,519.42126,225.357,524.6062,225.39375,0.98424494
531.8992,219.83417,9.757899,17.87969,4.4703484e-07,529.70245,216.99869,534.5493,216.70964,532.5776,220.75443,531.00635,224.27875,535.2149,224.00665,0.9843079
539.05853,220.35234,11.262641,17.540249,3.2782555e-07,536.18536,217.15495,541.80707,217.022,539.3882,221.08093,537.6888,224.40608,542.31104,224.23093,0.98430717
545.55786,221.5303,11.521072,16.377121,6.854534e-07,543.2151,217.61966,549.7155,217.6754,546.98114,221.65012,544.4771,224.95679,549.892,224.97525,0.984273
555.1877,220.14711,15.9938,19.531097,2.0861626e-07,552.1995,216.24129,558.3162,216.44762,555.8483,221.13731,553.4832,224.40213,558.2996,224.44635,0.98431724
566.1294,221.97447,14.305723,17.095253,4.7683716e-07,561.7651,218.05096,567.8107,218.23827,565.1921,222.49399,562.8019,225.97606,567.7336,226.06102,0.9843097
571.8212,222.7272,12.361792,14.460212,1.2814999e-06,568.23486,218.797,573.61206,219.18658,570.72974,222.96997,568.96423,225.53557,573.17957,225.80734,0.9842733
577.4492,220.76663,15.713745,20.959103,9.834766e-07,574.2447,217.50122,579.6576,217.95432,576.4247,221.43309,574.8899,224.79962,579.19073,225.14175,0.98426354
587.6326,219.39319,18.154423,22.530746,9.23872e-07,583.6594,216.15031,590.4328,216.4726,586.66095,220.16536,584.6894,224.31839,590.0599,224.63869,0.9842718
596.661,218.76779,18.094685,23.1338,3.874302e-07,591.90967,215.34355,598.6378,215.83429,595.32904,219.71771,593.2007,223.65292,598.64557,224.05641,0.98424613
604.3015,220.2313,14.58445,20.496664,6.2584877e-07,600.12714,216.75938,606.27985,217.12863,603.35693,220.77583,601.322,224.36076,606.4124,224.60066,0.9842949
610.8137,219.70216,14.539693,17.859917,4.7683716e-07,607.7867,216.26492,614.16925,216.55235,611.3353,220.7676,609.0046,224.11813,614.24097,224.23524,0.9842999
619.5629,220.31088,17.677805,24.150959,1.1920929e-06,615.9546,216.0238,623.6233,216.07083,620.1344,220.8766,617.54346,225.09901,623.71625,225.1117,0.9843091
632.84576,221.0271,14.569034,31.520582,1.1920929e-06,629.0559,215.74942,635.9616,216.01958,633.3417,221.59969,630.59344,226.37535,636.03735,226.55602,0.9843806
